id;name;content;status;file_id
b08437ce-8ad7-4c53-88ba-a2c83d4f5a47;AGP Intranet;../fake-data/blob/hipster.txt;PUBLIC;43e1b92b-15d1-4e0f-b41f-c71d17c34904
6f2df081-af6f-418d-b94d-fddd98fcdcb3;Polarised Arizona;../fake-data/blob/hipster.txt;DRAFT;2780a0f0-9e64-49fd-ae5c-d1698064daed
3b15a592-144c-4b1f-a63d-73367f455076;Turks Handcrafted;../fake-data/blob/hipster.txt;PUBLIC;f9dabd73-9b65-4a60-b9e0-956109d88d51
e419c650-d393-46a2-bb18-153f9555787a;Mobility Manat;../fake-data/blob/hipster.txt;DELETED;d5062a07-ba64-49a0-9eb4-efa09983e817
4991ac2c-24ef-42eb-921e-be9ff2d8acd4;Tools Mississippi;../fake-data/blob/hipster.txt;DELETED;ad0969dd-accc-4da1-8aed-26db4e9436d4
bdf8bcdd-0bd4-4cf8-96b0-55570a30c9be;PNG;../fake-data/blob/hipster.txt;DELETED;3ebc4391-0640-485e-bded-d5e58a49a09b
b67432ad-6170-4ea0-8bf5-4ebdbd214831;Electronics;../fake-data/blob/hipster.txt;DRAFT;d8fffb54-56b2-4e8b-93cd-25c239c04aa8
2127c812-89c1-4136-a715-480a0e9627f0;Forward virtual;../fake-data/blob/hipster.txt;DRAFT;8667531d-a40d-4592-834c-03261ac7f6d2
95a7be81-dd80-4418-a9d4-59dc385d3b52;Yen pink program;../fake-data/blob/hipster.txt;DELETED;d565b480-c447-420c-9072-8b3a96f5c7e4
90563a51-bb76-448a-88fc-44661386739b;Paradigm pink bypassing;../fake-data/blob/hipster.txt;DRAFT;c8f2750a-9503-418b-a91a-b593eaaeef04
